POLICY_NUMBER,INSURANCE_TYPE,PREMIUM_AMOUNT,TENURE
PLC00006530,Travel,96.15,110
PLC00001461,Mobile,9.28,48
PLC00005224,Travel,56.96,81
PLC00007070,Property,137.56,71
PLC00002606,Mobile,8.2,16
PLC00008965,Life,79.04,73
PLC00007014,Health,143.0,76
PLC00000116,Health,133.4,29
PLC00002999,Health,126.63,111
PLC00007655,Property,156.33,98
PLC00005033,Property,149.34,80
PLC00003709,Property,157.51,99
PLC00007201,Motor,124.71,83
PLC00006038,Health,177.52,119
PLC00007647,Property,81.62,92
PLC00009245,Property,80.53,40
PLC00006394,Motor,97.13,50
PLC00002208,Life,52.78,52
PLC00009149,Property,95.21,35
PLC00006194,Health,177.72,55
PLC00001231,Travel,52.36,72
PLC00009559,Travel,83.07,34
PLC00006241,Property,133.58,45
PLC00002764,Property,158.03,38
PLC00003377,Property,146.62,25
PLC00004152,Travel,65.74,57
PLC00003771,Motor,139.93,76
PLC00009821,Travel,60.87,64
PLC00002849,Motor,93.9,117
PLC00004707,Motor,80.48,64
PLC00004545,Travel,98.72,8
PLC00009504,Travel,94.73,66
PLC00004550,Travel,94.13,34
PLC00009220,Travel,83.69,28
PLC00000328,Mobile,8.52,14
PLC00007622,Property,98.86,15
PLC00005075,Motor,126.84,52
PLC00004975,Life,57.65,113
PLC00003177,Health,132.28,6
PLC00003302,Health,131.75,105
PLC00003838,Health,134.63,88
PLC00002909,Motor,135.8,38
PLC00008260,Mobile,8.27,104
PLC00006000,Life,70.1,85
PLC00001377,Motor,105.28,92
PLC00006627,Mobile,11.64,25
PLC00001427,Property,139.73,82
PLC00004763,Life,50.53,72
PLC00002977,Travel,60.19,65
PLC00007720,Motor,96.55,86
PLC00009659,Property,95.93,76
PLC00006964,Life,58.52,48
PLC00000442,Life,58.26,25
PLC00006367,Travel,93.56,98
PLC00003091,Property,133.6,44
PLC00003172,Travel,55.72,57
PLC00001497,Property,100.5,68
PLC00003178,Travel,54.04,7
PLC00007096,Life,77.99,70
PLC00007129,Motor,93.99,97
PLC00002497,Motor,89.04,12
PLC00000962,Mobile,6.35,100
PLC00001859,Property,91.34,66
PLC00004706,Travel,63.97,44
PLC00005281,Life,61.04,7
PLC00008734,Mobile,7.23,16
PLC00006188,Travel,53.47,99
PLC00001947,Life,98.98,11
PLC00001815,Motor,87.64,97
PLC00005411,Motor,139.24,39
PLC00006647,Health,133.82,8
PLC00000079,Mobile,10.25,87
PLC00009278,Travel,96.87,83
PLC00000566,Life,53.62,77
PLC00001091,Travel,66.63,32
PLC00002658,Life,66.34,96
PLC00003385,Travel,85.89,109
PLC00003818,Motor,127.22,108
PLC00006819,Motor,121.7,101
PLC00002046,Health,143.39,75
PLC00009757,Mobile,6.39,41
PLC00007046,Property,130.6,43
PLC00009461,Motor,99.2,31
PLC00003953,Mobile,6.75,16
PLC00007736,Health,197.86,16
PLC00004746,Life,84.59,38
PLC00005139,Mobile,10.76,71
PLC00009012,Life,58.41,105
PLC00007830,Property,119.07,119
PLC00008153,Motor,138.43,68
PLC00009335,Life,60.54,23
PLC00005699,Property,127.49,42
PLC00000080,Travel,87.93,41
PLC00009345,Motor,112.26,105
PLC00007969,Property,157.24,68
PLC00002796,Health,197.23,20
PLC00002744,Travel,76.45,44
PLC00004616,Mobile,9.82,87
PLC00004321,Property,117.74,70
PLC00006145,Motor,103.56,119
PLC00006926,Mobile,8.15,113
PLC00004076,Health,147.88,25
PLC00007865,Travel,60.36,19
PLC00007336,Mobile,9.97,82
PLC00003982,Mobile,9.85,72
PLC00005308,Health,159.96,116
PLC00000712,Motor,97.45,6
PLC00002141,Health,190.89,108
PLC00000970,Health,139.6,10
PLC00004068,Mobile,6.22,60
PLC00003007,Life,61.45,14
PLC00009265,Life,50.3,35
PLC00008044,Travel,94.8,114
PLC00006215,Travel,55.97,97
PLC00003596,Health,122.21,10
PLC00001884,Mobile,6.94,32
PLC00006677,Life,62.48,82
PLC00009414,Health,144.79,62
PLC00005463,Mobile,6.73,115
PLC00009069,Life,64.71,89
PLC00002024,Motor,121.58,7
PLC00001057,Property,140.94,24
PLC00006980,Motor,89.19,82
PLC00009775,Mobile,9.68,91
PLC00002847,Travel,71.58,114
PLC00002429,Health,166.15,60
PLC00006352,Property,138.64,60
PLC00003989,Mobile,10.32,17
PLC00000586,Travel,85.47,66
PLC00003912,Mobile,7.48,82
PLC00000806,Mobile,8.12,18
PLC00002398,Travel,75.68,39
PLC00008206,Property,128.25,15
PLC00001922,Life,55.03,119
PLC00000333,Mobile,8.39,103
PLC00009053,Motor,134.96,8
PLC00002082,Travel,60.56,32
PLC00000354,Travel,99.46,23
PLC00000138,Property,104.98,57
PLC00005006,Mobile,10.21,106
PLC00008582,Property,129.84,107
PLC00003463,Travel,76.65,30
PLC00001537,Life,80.33,41
PLC00008479,Property,85.19,10
PLC00002296,Travel,68.92,75
PLC00005366,Health,159.44,84
PLC00008284,Travel,79.74,91
PLC00002998,Travel,94.61,56
PLC00004428,Motor,76.14,75
PLC00003400,Property,151.81,69
PLC00001521,Life,52.48,13
PLC00003038,Mobile,8.59,94
PLC00001478,Life,81.59,91
PLC00000270,Travel,64.32,117
PLC00009525,Life,97.8,79
PLC00005525,Health,131.4,16
PLC00003592,Health,112.35,109
PLC00008906,Health,181.08,100
PLC00005928,Motor,74.24,99
PLC00005527,Property,124.28,91
PLC00000517,Motor,106.34,74
PLC00003794,Travel,65.88,29
PLC00001472,Property,122.47,55
PLC00001435,Property,103.98,116
PLC00003755,Motor,73.92,58
PLC00000547,Motor,83.24,45
PLC00006205,Travel,72.13,29
PLC00006672,Life,55.32,57
PLC00004856,Mobile,7.33,25
PLC00001679,Property,154.48,68
PLC00006869,Travel,95.79,35
PLC00005202,Motor,70.19,35
PLC00002934,Health,165.04,74
PLC00007839,Health,157.95,118
PLC00006144,Travel,53.44,11
PLC00008345,Property,105.12,86
PLC00008402,Life,63.29,105
PLC00007222,Life,94.52,113
PLC00007216,Health,174.22,89
PLC00006375,Health,164.66,61
PLC00002789,Travel,96.04,78
PLC00009026,Travel,54.73,35
PLC00006762,Property,123.35,113
PLC00000680,Motor,129.17,56
PLC00008259,Travel,72.0,11
PLC00000977,Motor,97.92,60
PLC00004504,Life,84.15,47
PLC00004892,Life,83.23,71
PLC00009110,Travel,95.96,32
PLC00009179,Life,73.52,25
PLC00003062,Life,65.41,107
PLC00003643,Motor,137.78,105
PLC00009020,Property,145.15,83
PLC00005550,Mobile,8.0,114
PLC00001626,Motor,110.54,65
PLC00005456,Motor,120.94,98
PLC00000742,Travel,81.79,43
PLC00000988,Motor,109.33,69
PLC00003949,Mobile,7.7,46
PLC00008464,Mobile,7.05,72
PLC00001529,Mobile,11.33,24
PLC00001128,Property,141.35,48
PLC00002494,Travel,74.55,107
PLC00004955,Health,119.25,77
PLC00007270,Property,128.31,49
PLC00003791,Motor,110.36,82
PLC00003305,Health,189.4,111
PLC00004015,Health,177.87,105
PLC00001609,Life,65.13,71
PLC00007194,Mobile,6.15,74
PLC00003880,Life,53.27,64
PLC00005449,Health,111.88,49
PLC00000090,Travel,92.04,71
PLC00008338,Health,178.94,100
PLC00002630,Travel,56.59,100
PLC00007167,Health,167.85,52
PLC00009215,Mobile,6.6,64
PLC00000856,Travel,50.56,48
PLC00008671,Travel,83.07,104
PLC00000653,Life,71.02,108
PLC00003510,Travel,82.07,27
