TRANSACTION_ID,CUSTOMER_ID,POLICY_NUMBER,AGENT_ID,VENDOR_ID,TXN_DATE_TIME,LOSS_DT,REPORT_DT,CLAIM_AMOUNT,CLAIM_STATUS,INCIDENT_SEVERITY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,fraud_indicator,risk_level
TXN00000050,A00004589,PLC00003093,AGENT00697,VNDR00488,2020-06-02T00:00:00.000Z,2020-05-23,2020-05-26,10000.0,A,Minor Loss,Ambulance,0,0,AZ,Glendale,13,0,Low
TXN00000061,A00005466,PLC00000652,AGENT00308,VNDR00457,2020-06-02T00:00:00.000Z,2020-05-19,2020-05-24,16000.0,A,Minor Loss,Ambulance,1,0,VT,Fairfax,15,0,Low
TXN00000067,A00008288,PLC00000241,AGENT00141,VNDR00383,2020-06-02T00:00:00.000Z,2020-05-15,2020-05-20,2000.0,A,Total Loss,Other,1,0,AK,Anchorage,5,0,Low
TXN00000072,A00007705,PLC00009039,AGENT00615,VNDR00407,2020-06-03T00:00:00.000Z,2020-05-30,2020-05-31,5000.0,A,Total Loss,Police,0,1,CO,Arvada,5,1,Low
TXN00000077,A00000804,PLC00006719,AGENT00210,VNDR00488,2020-06-03T00:00:00.000Z,2020-05-14,2020-05-19,60000.0,A,Major Loss,None,1,1,CA,Livermore,5,0,High
TXN00000097,A00000327,PLC00000801,AGENT00397,,2020-06-04T00:00:00.000Z,2020-05-31,2020-06-01,15000.0,A,Total Loss,None,0,0,DC,Washington,8,1,Low
TXN00000108,A00007480,PLC00004335,AGENT00265,VNDR00360,2020-06-04T00:00:00.000Z,2020-05-30,2020-05-31,20000.0,A,Major Loss,Ambulance,1,0,AL,Montgomery,11,0,Medium
TXN00000135,A00008944,PLC00006934,AGENT00879,,2020-06-05T00:00:00.000Z,2020-05-26,2020-05-29,5000.0,A,Total Loss,Ambulance,0,1,VT,Colchester,22,1,Low
TXN00000147,A00000949,PLC00006503,AGENT00648,VNDR00137,2020-06-06T00:00:00.000Z,2020-05-19,2020-05-24,39000.0,A,Total Loss,Police,1,0,TN,Nashville,6,1,High
TXN00000150,A00002776,PLC00004168,AGENT00345,VNDR00430,2020-06-06T00:00:00.000Z,2020-05-23,2020-05-28,34000.0,A,Total Loss,Ambulance,1,1,VT,Bethel,17,0,High
